attribute	owl_class_uri	owl_class_label	sql_type	primary_key	foreign_key
subject/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
subject/subject_identifier	http://purl.obolibrary.org/obo/GENEPIO_0001616	subject identifier	String	FALSE	FALSE
subject/birthdate	http://www.ebi.ac.uk/efo/EFO_0004950	date of birth	Date	FALSE	FALSE
sample/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	FALSE
sample/name	http://purl.obolibrary.org/obo/OBI_0001616	specimen identifier	String	FALSE	FALSE
sample/isolation_source	http://purl.obolibrary.org/obo/GENEPIO_0000027	specimen source context	String	FALSE	FALSE
sample/subject_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
sample/collection_date	http://purl.obolibrary.org/obo/GENEPIO_0002154	specimen extraction date (ISO 8601)	Date	FALSE	FALSE
library/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
library/name	http://purl.obolibrary.org/obo/GENEPIO_0001995	library name	String	FALSE	FALSE
library/sample_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
library/creation_date	http://purl.obolibrary.org/obo/GENEPIO_0001882	created date	Date	FALSE	FALSE
library/type	http://purl.obolibrary.org/obo/GENEPIO_0000085	library preparation kit	String	FALSE	FALSE
analysis/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
analysis/type	http://edamontology.org/operation_2945	Analysis	String	FALSE	FALSE
analysis_library/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
analysis_library/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
analysis_library/library_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
analysis_input_file/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
analysis_input_file/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
analysis_input_file/path	 http://purl.obolibrary.org/obo/NCIT_C47922	Pathname	String	FALSE	FALSE
analysis_input_file/filename	http://purl.obolibrary.org/obo/GENEPIO_0000148	isolate raw read filename	String	FALSE	FALSE
analysis_input_file/filetype	http://edamontology.org/format_1915	Format	String	FALSE	FALSE
analysis_input_file/file_format_name	http://edamontology.org/data_2129	File format name	String	FALSE	FALSE
analysis_input_parameter/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
analysis_input_parameter/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
analysis_input_parameter/parameter_name	http://semanticscience.org/resource/SIO_000144	parameter	String	FALSE	FALSE
analysis_input_parameter/parameter_flag	 http://semanticscience.org/resource/SIO_000602	computational entity	String	FALSE	FALSE
analysis_input_parameter/parameter_value	 http://semanticscience.org/resource/SIO_000602	computational entity	String	FALSE	FALSE
analysis_output_datum/id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	TRUE	FALSE
analysis_output_datum/analysis_id	http://semanticscience.org/resource/SIO_000729	record identifier	Integer	FALSE	TRUE
analysis_output_datum/datum_type	http://purl.obolibrary.org/obo/NCIT_C42645	Data Type	String	FALSE	FALSE
analysis_output_datum/datum_value	http://purl.obolibrary.org/obo/NCIT_C49100	Data Value	String	FALSE	FALSE
